Id,Term,Meaning
474,SIL,Safety Integrity Level - statistical measure of reliability of a safety system such as an interlocking system
475,SLB,Side Lower Berth (annotation on ticket for sleeping accommodation)
476,SPART,Self-Propelled Accident Relief Train - 3-coach accident relief rakes with two diesel power packs
477,SPURT,Self-Propelled Ultrasonic Rail Testing cars
478,SR,"Subsidiary Rules (for railway operation, see GR)"
479,SRUCC,Suburban Rail Users Consultative Committee (for Mumbai suburban services)
480,SS,Station Superintendent; Substation (electrification)
481,SSD,Spring Setting Device - spring-loaded mechanism on some switches to ensure proper alignment of tongue and stock rails
482,SSE,Senior Section Engineer
483,S&T,Signalling & Telecommunications
484,STA,"Suburban Traffic Avoiding line : the fifth line between Borivali and Bandra Marshalling Yard, and between Mahim Junction and Mumbai Central in the Mumbai system."
485,SUB,Side Upper Berth (annotation on ticket for sleeping accommodation)
486,TAAG,Trains At A Glance (a timetable publication)
487,TAR,Trans-Asian Railway (another proposed grand pan-Asian route)
488,TBO,Town Booking Office
489,TC,"Trailer Car (unpowered car in EMU rake), Ticket Checker / Ticket Collector"
490,TCF,Train Coming From (condition of block instrument)
491,TDR,Ticket Deposit Receipt (when surrendering ticket for cancellation / refund)
492,TEU,Twenty-foot Equivalent Unit (for measuring container traffic; a standard 40-foot container is 2 TEUs)
493,TGT,Train Going To (condition of block instrument)
494,TMS,Train Management System
495,TRS,Traction Rolling Stock
496,TS,Train Superintendent
497,TT,Timetable
498,TTE,Travelling Ticket Examiner
499,TQ,Tatkal Quota
500,TXR,"Train Examiner, the officer who issues the BPC and VCC (Train Inspector)"
501,UB,Upper Berth (annotation on ticket for sleeping accommodation)
502,UEC,Universal Emergency Communication (a system of on-board communication in some trains)
503,V,Vegetarian (meal or restaurant)
504,"V Ch, Vou Ch",Voucher charges (annotation on ticket)
505,VG,"Vegetarian (meal or restaurant), also Vehicle Guidance (the record of identifying numbers for coaches/wagons that make up a train)"
506,VLRR,Vegetarian Light Refreshment Room
507,VT,Victoria Terminus (now Chhatrapati Shivaji Terminus)
508,WFC,Western Freight Corridor
509,"WL, W/L",Waiting List; Wait-Listed (ticket issued without confirmed accommodations)
510,"WL, W/L",(Also as a sign: Whistle on approach to Level crossing!)
511,WM,Works Manager
512,W/T,Without Ticket
513,ZDOT,Zero Death On Tracks (campaign to reduce fatalities from pedestrian trespassers)
514,ZISTU,Zonal Integrated S&T Units
515,ZTC,Zonal Training Centre
516,2T,"Two-tier (as in ""AC-2T"" = airconditioned two-tier coach)"
517,3T,Three-tier
518,1A,First class Air-conditioned (also Executive Class)
519,2A,Air-conditioned 2-tier sleeper
520,FC,First Class
521,3A,Air-conditioned 3-tier sleeper
522,SL,Sleeper class
523,2S,Second-class Sitting
524,GN,General
525,LD,Ladies
526,HO,High Official / Headquarters
527,DF,Defence
528,OS,Out-station
529,RS,Road-side
530,PH,Parliament House
531,FT,Foreign Tourist
532,BP,"Beyer Peacock, Manchester"
533,BSCL,"Burn Standard Co., Ltd."
534,BTH,British Thomson Houston
535,BWEL,"Bharat Wagon and Engineering Co., Ltd."
536,CLW,"Chittaranjan Loco Works,"
537,also,Canadian Locomotive Works (now Bombardier)
538,DLW,"Diesel Loco Works, Varanasi"
539,EBW,E. B. Wilson
540,EE,English Electric
541,EMD,"General Motors' Electro-Motive Division, USA"
542,GEC,"General Electric Corporation, UK"
543,GM,"General Motors, USA"
544,GMD,"General Motors Diesel, Canada"
545,HL,"Hawthorn-Leslie, Newcastle-upon-Tyne, UK"
546,ICF,"Integral Coach Factory, Perambur"
547,ISW,"Indian Standard Wagon Works, Satna"
548,KS,"Kerr Stuart, Stoke-on-Trent, UK"
549,LHB,"Linke Hoffman Busch GmbH, Germany"
550,MLW,Montreal Locomotive Works
551,MV,Metropolitan Vickers
552,NBL,"North British Locomotive Co., Glasgow"
553,NW,"Nasmyth Wilson, Manchester"
554,O&K,"Orenstein & Koppel, Berlin"
555,RCF,"Railway Coach Factory, Kapurthala"
556,RS,"Robert Stephenson, Newcastle-upon-Tyne, UK"
557,SFAC,"Societe des Forges et Ateliers, Creusot"
558,SIG,Schweirische Industrie Gesselschaft
559,SLM,"Schweizerische Lokomotiv- und Maschinenfabrik, Winterthur, Switz."
560,TELCO,Tata Engineering and Locomotive Co.
561,USATC,"US Army Transportation Corps., USA"
562,WB,"William G. Bagnall, Stafford, UK"
563,WIL,Wagon India Ltd. (an intermediary firm for wagon contracts)
564,AIRF,All-India Railwaymen's Federation (union organization)
565,BMRTC,"Bangalore Metropolitan Rail Transit Corporation, Ltd."
566,BPT,Bombay Port Trust (later MPT)
567,CMC,"Computer Maintenance Corporation, also Calcutta Metro Corporation"
568,COFMOW,Central Organization for the Modernization of Workshops
569,CONCOR,Container Corporation of India
570,COOIS,Central Organization for Operations Information Systems
571,CORE,Central Organization for Railway Electrification
572,COS,Central Office of Standards (predecessor of RDSO)
573,CRIS,Centre for Railway Information Systems
574,CTC,Calcutta Tramways Corporation
575,DCW,"Diesel Component Works, Patiala"
576,DMRC,Delhi Metro Rail Corporation
577,ELRTS,"Elevated Light Rail Transit System (proposed, Bangalore)"
578,FNRM,Friends of the National Rail Museum
579,FROA,Federation of Officer's Associations (umbrella organization for railway officers' groups)
580,IPWE,Institution of Permanent Way Engineers
581,IRAS,Indian Railway Accounts Services (financial management)
582,IRC,Indian Railways Corporation (proposed)
583,IRCA,"Indian Railway Conference Association (body that issues inspection guidelines, allots wagon codes, inspects workshops)"
584,IRCON,"Indian Railways Construction Company, now IRCON International Ltd., which takes on contract work to build railways in other countries (Iraq, Nepal, Indonesia...)."
585,IRCOT,Indian Railways Central Organization for Telecom
586,IRCTC,Indian Railways Catering and Tourism Corporation
587,IREB,Indian Railways Executive Board (proposed)
588,IRFC,Indian Railways Finance Corporation
589,IRIATT,Indian Railways Institute of Advanced Track Technology
590,IRICEN,"Indian Railways Institute of Civil Engineering, Pune"
591,IRIEEN,"Indian Railways Institute of Electrical Engineering, Nasik"
592,IRIMEE,"Indian Railways Institute of Mechanical and Electrical Engineering, Jamalpur"
593,IRISET,"Indian Railways Insitute of Signal Engineering and Telecommunications, Secunderabad"
594,IRMS,Indian Railway Medical Services
595,IRPHA,Indian Railway Public Health Association
596,IRPS,indian Railway Personnel Services (human resources)
597,IRRA,Indian Railways Regulatory Authority (proposed)
598,IRSE,Indian Railway Service of Engineers
599,IRSEE,Indian Railway Service of Electrical Engineers
600,IRSME,Indian Railway Service of Mechanical Engineers
601,IRSS,Indian Railway Stores Services (inventory control)
602,IRSSE,Indian Railway Service of Signal Engineers
603,IRSTE,Indian Railway Signal and Telecom Engineering
604,IRTS,"Indian Railway Traffic Services (management, marketing)"
605,ISRS,Indian Steam Railway Society
606,ITB,International Tourist Bureau (New Delhi)
607,KRCL,"Konkan Railway Corporation, Ltd."
608,KRDC,Konkan Railway Development Corporation
609,K-RIDE,Rail Infrastructure Development Corporation (Karnataka) Ltd.
610,KRIST,Konkan Railway Institute for Staff Training
611,KMRT,Kolkata Mass Rapid Transit
612,LRDSS,Long Range Decision Support System
613,LRTS,"Light Rail Transit System (proposed, Kolkata)"
614,MPT,Mumbai Port Trust (see BPT)
615,MRSP,Model Railway Society of Pune
616,MRTS,Mass Rapid Transit System (Chennai)
617,MRVC,Mumbai Rail Vikas Corporation
618,MTP,"Metropolitan Transport Project (Railways), Bombay"
619,MUTP,Mumbai Urban Transport Project (a World Bank project)
620,NFIR,National Federation of Indian Railwaymen (union organization)
621,NRM,"National Rail Museum, New Delhi"
622,PRCL,Pipavav Railway Corporation Ltd.
623,NRMU,National Railway Mazdoor Union (railway employees' trade union)
624,RB,Railway Board
625,RBSS,Railway Board Secretariat Services (part of Railway Ministry)
626,RCIL,"Railtel Corporation of India, Ltd."
627,RDSO,"Research, Design and Standards Organization"
628,ROMA,Railway Officers' Medical Association
629,RPF,"Railway Protection Force (also see below, Miscellaneous)"
630,RSC,"Railway Staff College, Vadodara"
631,RITES,"Rail India Technical and Economic Services, which takes on planning, design, and operational work in other countries (Angola, Mozambique, Zimbabwe, Botswana, Mexico, Zambia, Nepal, etc.)."
632,RTRC,Railway Testing and Research Centre (a predecessor of RDSO)
633,RWWCO,Railway Women's Welfare Central Organization
634,RVNL,Rail Vikas Nigam Ltd.
635,SGE,"Siemens and General Electric Railway Signal Co., Ltd."
636,WAP,"Wheel and Axle Plant, Yelahanka (also a loco classification :-) )"
637,AP,Andhra Pradesh Express
638,DQ,The Deccan Queen
639,GT,Grand Trunk Express
640,JJ,Jayanti Janata Express
641,KK,Karnataka-Kerala Express
642,TN,Tamil Nadu Express
643,POW,Palace on Wheels
644,ADCR,Agra-Delhi Chord Railway
645,BAR,"Bengal Assam Railway (in 1947, renamed East Bengal Rly., and in 1961, renamed Pakistan Eastern Rly.)"
646,BB&CI / BB&CIR (BBCIR),"Bombay, Baroda, and Central India Railway"
647,BCR,Bengal Central Railway
648,BDR,"Bengal Dooars Railway, also Bankura Damodar Railway"
649,BESR,Bilaspur - Etawah State Railway
650,BLR,Barsi Light Railway
651,BMR,Burma Mines Railway
652,BNR,Bengal Nagpur Railway
653,BNWR,Bengal North-Western Railway
654,BPR,Bengal Provincial Railway
655,BR,Burma Railway
656,BRC,Burma Railways Corporation
657,CBR,Cooch Behar Railway
658,CGR,Ceylon Government Railway
659,CR,Central Railway
660,CSER,Calcutta and South-Eastern Railway
661,DHR,Darjeeling Himalayan Railway
662,DMSR,Dhond-Manmad State Railway (Dhond = Daund)
663,DRLR,Dehri Rohtas Light Railway
664,DSR,Drangdhara State Railway
665,EBR,East Bengal State Railway
666,ECR,East Coast Railway
667,EIR,East Indian Railway
668,EPR,Eastern Punjab Railway
669,ER,Eastern Railway
670,GBSR,Gaekwar's Baroda State Railway
671,GIPR,Great Indian Peninsular Railway
672,GLR,Gwalior Light Railway (later Scindia State Railway)
673,GSR,Gondal State Railway
674,GSIR,Great Southern of India Railway
675,IGR,Indian Government Railways
676,IMR,Indian Midland Railway
677,IR,Indian Railways
678,ISR,Indian State Railway
679,IVSR,Indus Valley State Railway
680,JDR,Jamnagar and Dwarka Railway
681,JR,Jodhpur Railway
682,JSR,Jaipur State Railway
683,KHR,Khanai-Hindubagh Railway
684,KKTR,Kushalgarh-Kohat-Thal Railway
685,KR,Konkan Railway
686,KSR,Kalka Simla Railway
687,KVR,Kangra Valley Railway
688,LJR,Larkana-Jacobabad Railway
689,MLR,Matheran Light Railway
690,MR,Madras Railway
691,MSMR,Madras and Southern Mahratta Railway
692,MSR,Mysore State Railway
693,NER,North-eastern Railway
694,"NEFR, NFR",North-East Frontier Railway
695,NMR,Nilgiri Mountain Railway
696,NR,Northern Railway
697,NGSR,Nizam's Guaranteed State Railway
698,NSR,Nizam's State Railway
699,NWR,"North Western Railway (in 1961, renamed Pakistan Western Rly.)"
700,"O&RR, ORR",Oudh and Rohilkhund Railway
701,OTR,Oudh and Tirhut Railway
702,PDB,Piplod Devgad Baria Railway
703,PLR,Parlakimedi Light Railway
704,PNSR,Punjab Northern State Railway
705,PR,Pakistan Railways
706,PSMT,Patiala State Monorail Trainways
707,RDR,Raipur Dhamtari Railway
708,RKR,Rohilkhund Kumaon Railway
709,RMR,Rajputana Malwa Railway
710,SCR,South-central Railway
711,SER,South-eastern Railway
712,SLR,Sri Lanka Railways
713,SIR,South Indian Railway
714,SMR,Southern Mahratta Railway
715,SPDR,"Scinde, Punjab, and Delhi Railway"
716,SR,Southern Railway
717,SSLR,Shahdara Saharanpur Light Railway
718,SSR,"Scindia State Railway, also Sangli State Railway"
719,TBLR,Tezpore-Balipara Light Railway
720,WCSR,Wardha Coal State Railway
721,WIPR,West of India Portuguese Railway
722,WR,Western Railway
723,ACASH,Association of Corporations and Apex Societies of Handlooms
724,AGC,Assistant Guard�s Cabin
725,AIEHC,All India Engine Hour Cost
726,ATM,Automated Teller Machine
727,ATN,Action Taken Note
728,BEE,Bureau of Energy Efficiency
729,BOOT,Build Own Operate Transfer
730,CCM,Chief Commercial Manager
731,CDE,Chief Designing Engineer
732,CEDE,Chief Electrical and Distribution Engineer
733,CEGE,Chief Electrical General Engineer
734,COM,Chief Operations Manager
735,CPO,Chief Personnel Officer
736,CRB,Chairman Railway Board
737,CRT,Container Train Terminal
738,CRWS,Coach Rehabilitation Workshop
739,CTO,Container Train Operators
740,CVC,Central Vigilance Commission
741,CWE,Chief Workshop Engineer
742,D&G,Direction and General
743,EAC,Estimated Annual Consumption
744,EPF,Employees Provident Fund
745,ESI,Employees State Insurance
746,FA&CAO,Financial Advisor and Chief Accounts Officer
747,FSLA,Freight Service and Ledger Account
748,IRPSM,Indian Railways Projects Sanctions & Management
749,MoR,Ministry of Railways
750,MPLAD,Members of Parliament Local Area Development
751,NEFR,Northeast Frontier Railway
752,NREGA,"National Rural Employment Guarantee Act, 2005"
753,AEN/MC,Assistant Engineer/Machines
754,BCM,Ballast Cleaning Machine
755,BFR,Bogie Flat for Rails
756,BRM,Ballast Regulating Machine
757,CE,Chief Engineer
758,CEE,Chief Electrical Engineer
759,CFO,Chief Foreman
760,CME,Chief Mechanical Engineer
761,CMM,Chief Material Manager
762,CN,Construction
763,COM,Chief Operating Manager
764,COS,Controller of Stores
765,CPOH,Central Periodical Overhauling
766,CRF,Capital Recovery Factor
767,CRS,Commissioner of Railway Safety
768,CSM,Continuous Tamping Machine
769,CSP,Concreate Sleeper Plant
770,CSTE,Chief Signal & Telecommunication Engineer
771,CTE,Chief Track Engineer
772,CTR,Composite Track Record
773,CWR,Continuous Welded Rail
774,DEN,Divisional Engineer
775,DOT,Department of Telecommunication
776,DSK,Depot Store Keeper
777,DTS,Dynamic Track Stabilizer
778,DUO,Duomatic Machine
779,Dy.CE/TT,Deputy Chief Engineer/Tie Tamping
780,ETKM,Equated Track Kilometer
781,FP,Fish Plate
782,GR,General Rules
783,G&SR,General & Subsidiary Rules
784,GC,Gauge Conversion
785,GM,General Manager
786,GMT,Gross Million Tonnes
787,GPM,Gallon Per Minute
788,GVA,Geometry Value Assessment
789,HP,Horse power
790,HQ,Headquarter
791,Hrs.,Hours
792,HS,Hand Signal
793,HSD,High Speed Diesel
794,HSK,Highly Skilled
795,I/C,Incharge
796,IOH,Intermediate Overhauling
797,IRICEN,Indian Railways Institute of Civil Engineering Pune
798,IRPWM,Indian Railways Permanent Way Manual
799,IRTMTC,Indian Railways Track Machines Training Centre
800,JA Grade,Junior Administrative Grade
801,JE,Junior Engineer
802,LV,Last Vehicle
803,LWR,Long Welded Rail
804,MAS,Material At Site
805,MC,Machines
806,MOU,Memorandum of Understanding
807,MPT,Multipurpose Tamper
808,OEM,Original Equipment Manufacturer
809,OHE,Overhead Equipments
810,P Way,Permanent Way
811,PCB,Printed Circuit Board
812,POH,Periodical Overhauling
813,PQRS,Plasser's Quick Relaying System
814,PRC,Prestressed Reinforced Concrete
815,PSC,Prestressed Concrete
816,RGM,Rail Grinding Machine
817,RPM,Revolutions per minute
818,S&D,Supply & Disposal
819,S&T,Signal & Telecommunication
820,SBC,Shoulder Ballast Cleaner
821,SBCM,Shoulder Ballast Cleaning Machine
822,SE,Section Engineer
823,SEJ,Switch Expansion Joint
824,SEN,Senior Engineer
825,SM,Station Master
826,SPURT Car,Self Propelled Ultrasonic Rail Testing Car
827,Sr. DEN,Senior Divisional Engineer
828,Sr.DOM,Senior Divisional Operating Manager
829,SSE/MC,Senior Section Engineer/Machines
830,SSO,Senior Stores Officer
831,TM,Track Machine
832,TRT,Track Relaying Train
833,TTM,Tie Tamping Machine
834,UNIMAT,Points and Crossing Tamping Machine
835,UNO,Unomatic Machine
836,UT,Universal Tamper
837,UTV,Utility Track Vehicle
838,VHF,Very High Frequency
839,ACC,Air-Conditioned coach or class
840,ACP,Alarm Chain Pulling
841,"AE, AEN",Assistant Engineer
842,ALK,Allowance in Lieu of Kilometrage
843,CARS,Central Accounting and Reporting System
844,CARTRAC,CONCOR's automobile transport service
845,CONTRACK,CONCOR's container freight service
846,CRS,Chief Reservations Supervisor
847,DEE,Divisional Electrical Engineer
848,DSC,Dual-stacked containers
849,FJ,Forward journey
850,HDN,High-Density Network
851,I-ASK,Inter-Active Status Kiosk
852,IRS,Indian Railway Standard
853,JOH,Junction of Head
854,MCO,Military Control Office
855,MG,Meter Gauge
856,MGC,Mekong Ganga Cooperation group
857,MTP,Metropolitan Transport Project
858,NMG,New Maruti Goods
859,NOSTRAC,North-South Transport Corridor
860,NR,'Not Received'
861,NV,Non-Vegetarian
862,OA,Out Agency
863,OIGS,On India Government Service
864,PAR,Parcel Service
865,PF,Platform
866,RA,Running Allowance
867,RCC,Railway Convention Committee
868,RTR,Ready-to-Run
869,RUB,Road Under-bridge
870,"S Ch, SF Ch",Superfast Charges
871,SEB,State Electricity Board
872,SIL,Safety Integrity Level
873,SRUCC,Suburban Rail Users Consultative Committee
874,STA,Suburban Traffic Avoiding line :
875,TAAG,Trains At A Glance
876,TDR,Ticket Deposit Receipt
877,TGT,Train Going To
878,UB,Upper Berth
879,VG,Vegetarian
880,VT,Victoria Terminus
881,"WL, W/L",Waiting List
882,ZDOT,Zero Death On Tracks
883,ACC,ACCIDENT
884,ACCOTH,ACCIDENT OTHERS
885,BOBR,BREACH OF BLOCK RULE
886,COLL,COLLISION
887,DERL,DERAILMENT
888,FOT,FIRE IN TRAIN
889,FOTE,FIRE IN TRAIN ENGINE
890,SPAD,DRIVER PASSING SIGNAL AT ON
891,CNST,CONSTRUCTION
892,BBCNST,BLOCK BURST CNST
893,ELECCNST,ELECTRICAL CNST
894,ENGCNST,ENGINEERING CNST
895,OHECNST,OVERHEAD CNST
896,STCNST,SIGNAL CNST
897,CHART,DELAY IN CHART PASTING
898,COMOTH,COMMERCIAL OTHERS
899,COMSTF,COMM STAFF PROBLEM
900,CTG,CATERING PROBLEM
901,PLDG,PARCEL LOADING UNLOADING
902,CONNI,NON INTERLOCKING WORKING CONSTRUCTION
903,COM,NI WORK CNST
904,ACOP,PASS TRN ANGLE COCK OPERATED
905,BBJG,GOODS TRN BRAKE BLOCK JAM
906,BBJP,PASS TRN BRAKE BLOCK JAM
907,CDTCH,COACH DETACHMENT
908,CPDG,GOODS TRN CONTINUITY PIPE DISCONNECTED
909,CPDP,PASS TRN CONTINUITY PIPE DISCONNECTED
910,CWOTH,CARRIAGE AND WAGON OTHERS
911,HAP,PASS TRN HOT AXLE
912,HEG,HOT AXLE IN GOODS TRAIN
913,PTG,PRESSURE TROUBLE IN GOODS TRAIN
914,PTP,PASS TRN PRESSURE TROUBLE
915,SEOG,GOODS TRN ANGLE COCK OPERATION
916,TPG,TRAIN PARTING IN GOODS TRAIN
917,TPP,PASS TRN PARTING
918,WDTCH,WAGON DETACHMENT
919,ACOP,PASS TRN ANGLE COCK OPERATED
920,BBJG,GOODS TRN BRAKE BLOCK JAM
921,BBJP,PASS TRN BRAKE BLOCK JAM
922,CDTCH,COACH DETACHMENT
923,CPDG,GOODS TRN CONTINUITY PIPE DISCONNECTED
924,CPDP,PASS TRN CONTINUITY PIPE DISCONNECTED
925,CWOTH,CARRIAGE AND WAGON OTHERS
926,HAP,PASS TRN HOT AXLE
927,HEG,HOT AXLE IN GOODS TRAIN
928,PTG,PRESSURE TROUBLE IN GOODS TRAIN
929,PTP,PASS TRN PRESSURE TROUBLE
930,SEOG,GOODS TRN ANGLE COCK OPERATION
931,TPG,TRAIN PARTING IN GOODS TRAIN
932,TPP,PASS TRN PARTING
933,WDTCH,WAGON DETACHMENT
934,DCRW,DIESEL CREW ACCOUNT
935,DLFG,DIESEL GOODS TRAIN LOCO FAILED
936,DLORWP,DIESEL LOCO LOSS ON RUN DUE TO WRONG POWER
937,DLTG,DIESEL GOODS TRAIN LOCO TROUBLE
938,DLTP,DIESEL PASS TRN LOCO TROUBLE
939,DLV,DIESEL LINE BOX
940,DMUF,DIESEL DMU LOCO/UNIT FAILURES
941,DOTH,DIESEL LOCO OTHERS
942,DPFMID,PASS TRN DIESEL LOCO FAILED IN BLOCK SCTN
943,DPFSTN,PASS TRN DIESEL LOCO FAILED AT STN
944,DPS,DIESEL SANDER FAULT
945,FUEL,DIESEL FUELLING ACCOUNT
946,ACF,AC NOT WORKING
947,ELF,ELECTRIC FAILURE
948,ELOTH,ELECTRIC DEFECT OTHERS
949,EMUD,UNIT DEFECT OF EMU
950,TLF,TRAIN LIGHTING PROBLEM
951,ECRW,ELECTRIC CREW ACCOUNT
952,ELFG,ELECTRIC GOODS TRAIN LOCO FAILED
953,ELORWP,ELEC LOCO LOSS ON RUN DUE TO WRONG POWER
954,ELTG,ELECTRIC GOODS TRAIN LOCO TROUBLE
955,ELTP,ELECTRIC LOCO TROUBLE
956,EPFA,ELECTRIC POWER CAR FUELLING ACCOUNT
957,EPFMID,ELEC PASS TRN LOCO FAILED IN BLOCK SCTN
958,EPFSTN,ELEC PASS TRN LOCO FAILED AT STN
959,EPLB,ELECTRIC LINE BOX
960,EPOTH,ELECTRIC OTHERS
961,EPS,ELECTRIC SANDER FAULT
962,BBENG,BLOCK BURSTING
963,BFLAG,BANNER FLAG
964,BUCTRC,BUCKLING OF TRACK
965,EER,EXTRA CAUTION DEPLOYED
966,EGMAN,GATEMAN
967,ENGOTH,ENGINNERING OTHERS
968,ESTF,LAPSE BY AN ENGG EMPLOYEE
969,GJTF,GLUED JOINT FAILURE
970,IMR,IMR CAUTION ORDER
971,JERK,JERK/LURCH FELT
972,RF,RAIL FRACTURE
973,TMF,TRACK MACHINE FAILURE
974,TRB,TONGUE RAIL BROKEN
975,TRMM,TRACK RELATED MATERIAL MISSING
976,WF,WELD FAILURE
977,WL,WATER LOGGING
978,EQ,IMPACT DUE TO EARTH QUAKE
979,INCOTH,INCIDENT OTHERS
980,MED,DOCTOR ATTENDED PASSENGER
981,PEX,PASSENGER EXPIRED IN TRAIN
982,PFTR,PASSENGER FALLING FROM ON RUN TRN
983,BOOM,BOOM BROKEN
984,HRT,HEAVY ROAD TRAFFIC
985,VDASH,VEHICLE DASHED
986,VDSBL,VEHICLE DISABLE
987,AOR,ATTACK ON RLY-MEN/PROPERTY/TRN
988,BNDH,BANDH
989,BOMB,BOMB BLAST
990,DTRAC,DACOITY/THEFT/ROBERRY IN TRN
991,LOP,LAW AND ORDER PROBLEM
992,RALLY,RALLY
993,SECT,SECURITY THREATS
994,MAOTH,MISCREANT ACTIVITY OTHERS
995,SPELT,STONE PELTING BY MISCREANTS ON TRN
996,TOHE,TAMPERING OF OHE PARTS BY MISCREANTS
997,TOSG,THEFT/WRECKAGE OF SIGNALLING GEARS
998,TOTP,TAMPERING OF TRN PARTS BY MISCREANTS
999,TOTR,"TAMPERING/THEFT OF RAIL, SLEEPER ETC."
1000,ATF,AUXILIARY TRANSFORMER FAILURE
1001,BBOHE,OHE BLOCK BURST
1002,ETFB,FOREIGN BODY IN OHE
1003,GRID,OHE GRID FAILURE
1004,OHE,OHE FAILURE
1005,OHEOTH,OHE OTHERS
1006,OCR,OTHER RAILWAY CR
1007,OECOR,OTHER RAILWAY ECOR
1008,OECR,OTHER RAILWAY ECR
1009,OER,OTHER RAILWAY ER
1010,OKR,OTHER RAILWAY KR
1011,ONCR,OTHER RAILWAY NCR
1012,ONER,OTHER RAILWAY NER
1013,ONFR,OTHER RAILWAY NFR
1014,ONR,OTHER RAILWAY NR
1015,ONWR,OTHER RAILWAY NWR
1016,OSCR,OTHER RAILWAY SCR
1017,OSECR,OTHER RAILWAY SECR
1018,OSER,OTHER RAILWAY SER
1019,OSR,OTHER RAILWAY SR
1020,OSWR,OTHER RAILWAY SWR
1021,OWCR,OTHER RAILWAY WCR
1022,OWR,OTHER RAILWAY WR
1023,DODIV,DISRUPTION IN OTHER DIVISION
1024,FEST,EXTRA RUSH DURING MELA/FESTIVAL
1025,MISC,MISCELLANEOUS
1026,PATH,OUT OF PATH
1027,CRO,CATTLE RUNOVER
1028,HRO,HUMAN RUNOVER
1029,ASF,ADVANCED STARTER FAILURE
1030,AUTSF,AUTOMATIC SIGNAL FAILURE
1031,AXCF,BLOCK AXLE COUNTER FAILURE
1032,BBST,ST BLOCK BURST
1033,BIF,BLOCK INSTRUMENT FAILURE
1034,CCOMP,CONTROL COMMUNICATION FAILURE
1035,GSF,GATE SIGNAL FAILURE
1036,HSF,HOME SIGNAL FAILURE
1037,IBSF,INTERMEDIATE BLOCK SIGNAL FAILURE
1038,ICMS,COA/ICMS FAILURE
1039,LCCNS,LC CONDITION CAN NOT BE SET
1040,LCGNC,LC GATE NOT CLOSED IN TIME
1041,OSF,OTHER SIGNAL FAILURE
1042,PANF,RRI/PI FAILURE
1043,PTF,POINT FAILURE
1044,SPEF,SIGNAL POWER EQUIPMENT FAILURE
1045,SSIF,SSIF FAILURE
1046,STCC,CABLE CUTTING
1047,TCF,TRACK CIRCUIT FAILURE
1048,HRO,HUMAN RUNOVER
1049,BRCH,BREACHES
1050,CYCL,CYCLONE
1051,FLD,FLOOD
1052,FOG,FOG
1053,LANDS,LAND SLIDE
1054,WEAOTH,WEATHER OTHERS
